time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20170101:0011,0.0,0.0,0.0,0.0,0.0,4.67,3.17,0.0
20170101:0111,0.0,0.0,0.0,0.0,0.0,4.37,3.79,0.0
20170101:0211,0.0,0.0,0.0,0.0,0.0,3.65,4.07,0.0
20170101:0311,0.0,0.0,0.0,0.0,0.0,2.82,4.14,0.0
20170101:0411,0.0,0.0,0.0,0.0,0.0,2.06,4.07,0.0
20170101:0511,0.0,0.0,0.0,0.0,0.0,1.52,3.86,0.0
20170101:0611,0.0,0.0,0.0,0.0,0.0,1.23,3.72,0.0
20170101:0711,0.0,0.0,0.0,0.0,0.0,1.67,3.66,0.0
20170101:0811,0.0,0.0,0.0,0.0,0.0,1.48,3.66,0.0
20170101:0911,0.0,0.0,0.0,0.0,0.0,1.22,3.59,0.0
20170101:1011,295.57,248.64,85.09,2.08,6.78,1.47,3.79,0.0
20170101:1111,385.6,313.53,117.62,3.29,9.91,2.29,4.34,0.0
20170101:1211,44.53,8.26,55.75,1.61,11.08,3.12,4.41,0.0
20170101:1311,86.35,38.96,71.35,2.01,10.21,3.73,4.9,0.0
20170101:1411,10.43,0.0,22.72,0.65,7.37,4.05,6.41,0.0
20170101:1511,0.0,0.0,3.5,0.1,2.77,3.84,6.62,0.0
20170101:1611,0.0,0.0,0.0,0.0,0.0,3.69,7.1,0.0
20170101:1711,0.0,0.0,0.0,0.0,0.0,3.36,6.9,0.0
20170101:1811,0.0,0.0,0.0,0.0,0.0,3.24,6.07,0.0
20170101:1911,0.0,0.0,0.0,0.0,0.0,2.94,6.07,0.0
20170101:2011,0.0,0.0,0.0,0.0,0.0,2.92,5.38,0.0
20170101:2111,0.0,0.0,0.0,0.0,0.0,2.57,4.76,0.0
20170101:2211,0.0,0.0,0.0,0.0,0.0,2.15,4.48,0.0
20170101:2311,0.0,0.0,0.0,0.0,0.0,1.83,4.07,0.0
20170102:0011,0.0,0.0,0.0,0.0,0.0,1.5,3.66,0.0
20170102:0111,0.0,0.0,0.0,0.0,0.0,1.0,3.31,0.0
20170102:0211,0.0,0.0,0.0,0.0,0.0,0.58,3.17,0.0
20170102:0311,0.0,0.0,0.0,0.0,0.0,0.26,3.03,0.0
20170102:0411,0.0,0.0,0.0,0.0,0.0,0.03,3.1,0.0
20170102:0511,0.0,0.0,0.0,0.0,0.0,-0.08,3.1,0.0
20170102:0611,0.0,0.0,0.0,0.0,0.0,-0.18,3.24,0.0
20170102:0711,0.0,0.0,0.0,0.0,0.0,-0.22,3.59,0.0
20170102:0811,0.0,0.0,0.0,0.0,0.0,-0.15,3.59,0.0
20170102:0911,0.0,0.0,0.0,0.0,0.0,-0.13,3.79,0.0
20170102:1011,269.0,218.69,84.64,2.03,6.83,0.44,4.14,0.0
20170102:1111,230.09,157.98,103.58,2.73,9.97,1.39,4.48,0.0
20170102:1211,517.72,459.61,117.6,4.11,11.17,2.04,4.69,0.0
20170102:1311,363.11,287.77,118.82,3.31,10.31,2.81,4.76,0.0
20170102:1411,45.18,21.02,43.8,1.23,7.48,3.23,4.76,0.0
20170102:1511,10.55,10.82,12.17,0.35,2.89,3.28,4.48,0.0
20170102:1611,0.0,0.0,0.0,0.0,0.0,2.74,4.21,0.0
20170102:1711,0.0,0.0,0.0,0.0,0.0,2.48,4.21,0.0
20170102:1811,0.0,0.0,0.0,0.0,0.0,2.41,4.21,0.0
20170102:1911,0.0,0.0,0.0,0.0,0.0,2.57,4.41,0.0
20170102:2011,0.0,0.0,0.0,0.0,0.0,2.67,4.41,0.0
20170102:2111,0.0,0.0,0.0,0.0,0.0,2.66,4.41,0.0
20170102:2211,0.0,0.0,0.0,0.0,0.0,2.72,4.55,0.0
20170102:2311,0.0,0.0,0.0,0.0,0.0,2.8,4.62,0.0
20170103:0011,0.0,0.0,0.0,0.0,0.0,2.96,4.9,0.0
20170103:0111,0.0,0.0,0.0,0.0,0.0,3.05,5.24,0.0
20170103:0211,0.0,0.0,0.0,0.0,0.0,3.52,5.38,0.0
20170103:0311,0.0,0.0,0.0,0.0,0.0,3.83,5.59,0.0
20170103:0411,0.0,0.0,0.0,0.0,0.0,4.15,5.79,0.0
20170103:0511,0.0,0.0,0.0,0.0,0.0,4.47,5.79,0.0
20170103:0611,0.0,0.0,0.0,0.0,0.0,4.69,5.93,0.0
20170103:0711,0.0,0.0,0.0,0.0,0.0,4.75,5.86,0.0
20170103:0811,0.0,0.0,0.0,0.0,0.0,5.07,6.14,0.0
20170103:0911,0.0,0.0,0.0,0.0,0.0,5.25,6.34,0.0
20170103:1011,20.65,5.56,30.69,0.88,6.89,5.72,6.55,0.0
20170103:1111,18.2,0.0,33.21,0.95,10.05,6.24,6.83,0.0
20170103:1211,7.84,0.0,19.22,0.55,11.26,6.74,7.17,0.0
20170103:1311,6.65,0.0,17.48,0.5,10.42,6.9,7.38,0.0
20170103:1411,315.95,269.72,91.37,2.38,7.6,7.06,7.1,0.0
20170103:1511,1.46,0.0,8.74,0.25,3.02,7.06,6.76,0.0
20170103:1611,0.0,0.0,0.0,0.0,0.0,7.02,6.48,0.0
20170103:1711,0.0,0.0,0.0,0.0,0.0,7.05,6.28,0.0
20170103:1811,0.0,0.0,0.0,0.0,0.0,7.1,6.14,0.0
20170103:1911,0.0,0.0,0.0,0.0,0.0,7.24,6.34,0.0
20170103:2011,0.0,0.0,0.0,0.0,0.0,7.33,5.93,0.0
20170103:2111,0.0,0.0,0.0,0.0,0.0,7.31,5.45,0.0
20170103:2211,0.0,0.0,0.0,0.0,0.0,7.16,4.83,0.0
20170103:2311,0.0,0.0,0.0,0.0,0.0,6.83,4.34,0.0
20170104:0011,0.0,0.0,0.0,0.0,0.0,5.97,3.79,0.0
20170104:0111,0.0,0.0,0.0,0.0,0.0,5.72,3.66,0.0
20170104:0211,0.0,0.0,0.0,0.0,0.0,5.2,3.66,0.0
20170104:0311,0.0,0.0,0.0,0.0,0.0,4.61,3.52,0.0
20170104:0411,0.0,0.0,0.0,0.0,0.0,4.12,3.45,0.0
20170104:0511,0.0,0.0,0.0,0.0,0.0,3.71,3.38,0.0
20170104:0611,0.0,0.0,0.0,0.0,0.0,3.14,3.38,0.0
20170104:0711,0.0,0.0,0.0,0.0,0.0,3.37,3.59,0.0
20170104:0811,0.0,0.0,0.0,0.0,0.0,2.78,3.38,0.0
20170104:0911,0.0,0.0,0.0,0.0,0.0,2.32,3.45,0.0
20170104:1011,260.84,214.77,82.81,2.03,6.96,2.42,3.59,0.0
20170104:1111,300.16,224.95,114.44,3.06,10.13,2.8,3.66,0.0
20170104:1211,302.48,218.45,123.57,3.39,11.36,3.14,3.72,0.0
20170104:1311,134.93,75.99,86.3,2.38,10.53,3.24,3.93,0.0
20170104:1411,23.33,5.12,34.1,0.98,7.72,3.14,4.0,0.0
20170104:1511,0.0,0.0,3.5,0.1,3.15,2.76,3.45,0.0
20170104:1611,0.0,0.0,0.0,0.0,0.0,2.06,2.83,0.0
20170104:1711,0.0,0.0,0.0,0.0,0.0,1.5,2.41,0.0
20170104:1811,0.0,0.0,0.0,0.0,0.0,1.02,2.21,0.0
20170104:1911,0.0,0.0,0.0,0.0,0.0,0.23,2.28,0.0
20170104:2011,0.0,0.0,0.0,0.0,0.0,-0.4,2.28,0.0
20170104:2111,0.0,0.0,0.0,0.0,0.0,-0.78,2.28,0.0
20170104:2211,0.0,0.0,0.0,0.0,0.0,-1.16,2.14,0.0
20170104:2311,0.0,0.0,0.0,0.0,0.0,-1.76,2.07,0.0
20170105:0011,0.0,0.0,0.0,0.0,0.0,-1.82,2.0,0.0
20170105:0111,0.0,0.0,0.0,0.0,0.0,-2.22,1.86,0.0
20170105:0211,0.0,0.0,0.0,0.0,0.0,-2.03,1.66,0.0
20170105:0311,0.0,0.0,0.0,0.0,0.0,-1.9,1.38,0.0
20170105:0411,0.0,0.0,0.0,0.0,0.0,-1.21,1.1,0.0
20170105:0511,0.0,0.0,0.0,0.0,0.0,-0.67,0.97,0.0
20170105:0611,0.0,0.0,0.0,0.0,0.0,-1.09,1.03,0.0
20170105:0711,0.0,0.0,0.0,0.0,0.0,-0.92,1.03,0.0
20170105:0811,0.0,0.0,0.0,0.0,0.0,-1.61,1.24,0.0
20170105:0911,0.0,0.0,0.0,0.0,0.0,-2.26,1.45,0.0
20170105:1011,273.59,223.46,84.09,2.08,7.03,-2.11,1.72,0.0
20170105:1111,350.29,274.66,118.29,3.26,10.23,0.0,1.86,0.0
20170105:1211,428.45,353.2,130.04,3.91,11.47,1.65,2.07,0.0
20170105:1311,460.0,401.55,118.35,3.79,10.65,2.15,2.34,0.0
20170105:1411,314.96,262.38,94.14,2.46,7.85,2.15,2.97,0.0
20170105:1511,28.36,28.88,16.61,0.48,3.29,1.67,3.1,0.0
20170105:1611,0.0,0.0,0.0,0.0,0.0,1.04,3.17,0.0
20170105:1711,0.0,0.0,0.0,0.0,0.0,0.81,3.45,0.0
20170105:1811,0.0,0.0,0.0,0.0,0.0,0.71,3.79,0.0
20170105:1911,0.0,0.0,0.0,0.0,0.0,0.75,4.0,0.0
20170105:2011,0.0,0.0,0.0,0.0,0.0,1.13,4.34,0.0
20170105:2111,0.0,0.0,0.0,0.0,0.0,1.45,4.62,0.0
20170105:2211,0.0,0.0,0.0,0.0,0.0,1.77,4.83,0.0
20170105:2311,0.0,0.0,0.0,0.0,0.0,2.13,5.1,0.0
20170106:0011,0.0,0.0,0.0,0.0,0.0,2.51,5.24,0.0
20170106:0111,0.0,0.0,0.0,0.0,0.0,2.85,5.24,0.0
20170106:0211,0.0,0.0,0.0,0.0,0.0,3.51,5.45,0.0
20170106:0311,0.0,0.0,0.0,0.0,0.0,4.08,5.59,0.0
20170106:0411,0.0,0.0,0.0,0.0,0.0,4.41,5.45,0.0
20170106:0511,0.0,0.0,0.0,0.0,0.0,4.9,5.52,0.0
20170106:0611,0.0,0.0,0.0,0.0,0.0,5.49,5.52,0.0
20170106:0711,0.0,0.0,0.0,0.0,0.0,6.31,5.72,0.0
20170106:0811,0.0,0.0,0.0,0.0,0.0,6.63,5.66,0.0
20170106:0911,0.0,0.0,0.0,0.0,0.0,6.76,5.59,0.0
20170106:1011,64.44,37.73,49.93,1.35,7.11,6.86,5.45,0.0
20170106:1111,25.79,0.0,42.82,1.23,10.32,6.98,5.24,0.0
20170106:1211,65.63,19.9,68.97,1.98,11.58,7.02,4.69,0.0
20170106:1311,106.71,53.85,80.4,2.26,10.78,7.29,4.41,0.0
20170106:1411,158.77,114.38,77.09,1.98,7.99,7.34,4.07,0.0
20170106:1511,2.37,0.0,10.49,0.3,3.43,7.44,3.79,0.0
20170106:1611,0.0,0.0,0.0,0.0,0.0,7.45,3.59,0.0
20170106:1711,0.0,0.0,0.0,0.0,0.0,7.5,3.45,0.0
20170106:1811,0.0,0.0,0.0,0.0,0.0,7.48,3.1,0.0
20170106:1911,0.0,0.0,0.0,0.0,0.0,7.87,2.97,0.0
20170106:2011,0.0,0.0,0.0,0.0,0.0,7.96,2.76,0.0
20170106:2111,0.0,0.0,0.0,0.0,0.0,7.94,2.55,0.0
20170106:2211,0.0,0.0,0.0,0.0,0.0,7.94,2.41,0.0
20170106:2311,0.0,0.0,0.0,0.0,0.0,7.84,2.34,0.0
20170107:0011,0.0,0.0,0.0,0.0,0.0,7.59,2.28,0.0
20170107:0111,0.0,0.0,0.0,0.0,0.0,7.4,2.21,0.0
20170107:0211,0.0,0.0,0.0,0.0,0.0,7.16,2.34,0.0
20170107:0311,0.0,0.0,0.0,0.0,0.0,6.79,2.34,0.0
20170107:0411,0.0,0.0,0.0,0.0,0.0,6.48,2.34,0.0
20170107:0511,0.0,0.0,0.0,0.0,0.0,6.05,2.28,0.0
20170107:0611,0.0,0.0,0.0,0.0,0.0,5.82,2.21,0.0
20170107:0711,0.0,0.0,0.0,0.0,0.0,5.37,2.21,0.0
20170107:0811,0.0,0.0,0.0,0.0,0.0,5.17,2.14,0.0
20170107:0911,0.0,0.0,0.0,0.0,0.0,4.86,2.07,0.0
20170107:1011,13.59,0.0,27.09,0.78,7.2,4.85,2.07,0.0
20170107:1111,23.15,0.0,39.32,1.13,10.43,5.09,2.07,0.0
20170107:1211,249.73,169.67,119.97,3.29,11.7,5.68,2.21,0.0
20170107:1311,245.1,172.21,112.82,3.06,10.92,5.96,2.21,0.0
20170107:1411,47.63,19.6,48.87,1.38,8.13,6.07,2.14,0.0
20170107:1511,0.0,0.0,2.62,0.08,3.58,6.07,1.93,0.0
20170107:1611,0.0,0.0,0.0,0.0,0.0,5.77,1.93,0.0
20170107:1711,0.0,0.0,0.0,0.0,0.0,5.73,2.14,0.0
20170107:1811,0.0,0.0,0.0,0.0,0.0,6.0,2.21,0.0
20170107:1911,0.0,0.0,0.0,0.0,0.0,6.64,2.41,0.0
20170107:2011,0.0,0.0,0.0,0.0,0.0,6.91,2.69,0.0
20170107:2111,0.0,0.0,0.0,0.0,0.0,7.22,3.03,0.0
20170107:2211,0.0,0.0,0.0,0.0,0.0,7.41,3.24,0.0
20170107:2311,0.0,0.0,0.0,0.0,0.0,7.46,3.38,0.0
20170108:0011,0.0,0.0,0.0,0.0,0.0,7.36,3.66,0.0
20170108:0111,0.0,0.0,0.0,0.0,0.0,7.12,3.86,0.0
20170108:0211,0.0,0.0,0.0,0.0,0.0,6.95,3.93,0.0
20170108:0311,0.0,0.0,0.0,0.0,0.0,6.99,3.93,0.0
20170108:0411,0.0,0.0,0.0,0.0,0.0,7.02,3.93,0.0
20170108:0511,0.0,0.0,0.0,0.0,0.0,7.02,3.86,0.0
20170108:0611,0.0,0.0,0.0,0.0,0.0,7.02,3.72,0.0
20170108:0711,0.0,0.0,0.0,0.0,0.0,7.07,3.66,0.0
20170108:0811,0.0,0.0,0.0,0.0,0.0,6.83,3.24,0.0
20170108:0911,0.0,0.0,1.75,0.05,2.36,6.64,3.03,0.0
20170108:1011,50.87,26.3,46.07,1.28,7.3,6.71,2.97,0.0
20170108:1111,33.42,4.18,47.92,1.38,10.54,7.24,3.03,0.0
20170108:1211,29.23,0.0,47.19,1.35,11.83,7.77,2.97,0.0
20170108:1311,14.68,0.0,28.84,0.83,11.06,7.9,2.97,0.0
20170108:1411,16.66,0.0,31.46,0.9,8.29,8.02,3.24,0.0
20170108:1511,0.63,0.0,6.99,0.2,3.74,8.0,3.52,0.0
20170108:1611,0.0,0.0,0.0,0.0,0.0,7.85,3.66,0.0
20170108:1711,0.0,0.0,0.0,0.0,0.0,7.76,3.79,0.0
20170108:1811,0.0,0.0,0.0,0.0,0.0,7.7,3.93,0.0
20170108:1911,0.0,0.0,0.0,0.0,0.0,7.8,4.07,0.0
20170108:2011,0.0,0.0,0.0,0.0,0.0,7.87,4.21,0.0
20170108:2111,0.0,0.0,0.0,0.0,0.0,7.83,4.55,0.0
20170108:2211,0.0,0.0,0.0,0.0,0.0,7.86,5.03,0.0
20170108:2311,0.0,0.0,0.0,0.0,0.0,7.98,5.45,0.0
20170109:0011,0.0,0.0,0.0,0.0,0.0,8.21,5.79,0.0
20170109:0111,0.0,0.0,0.0,0.0,0.0,8.56,6.21,0.0
20170109:0211,0.0,0.0,0.0,0.0,0.0,8.72,6.83,0.0
20170109:0311,0.0,0.0,0.0,0.0,0.0,8.67,7.45,0.0
20170109:0411,0.0,0.0,0.0,0.0,0.0,8.43,7.93,0.0
20170109:0511,0.0,0.0,0.0,0.0,0.0,8.07,8.14,0.0
20170109:0611,0.0,0.0,0.0,0.0,0.0,7.73,8.21,0.0
20170109:0711,0.0,0.0,0.0,0.0,0.0,8.06,8.0,0.0
20170109:0811,0.0,0.0,0.0,0.0,0.0,7.83,7.31,0.0
20170109:0911,30.83,36.61,13.01,0.38,2.44,6.75,6.69,0.0
20170109:1011,228.88,181.64,83.51,2.08,7.4,5.57,6.21,0.0
20170109:1111,413.37,343.21,121.82,3.64,10.66,5.24,6.07,0.0
20170109:1211,362.74,274.95,133.24,3.81,11.97,5.25,6.48,0.0
20170109:1311,477.71,417.35,119.05,4.01,11.21,5.33,6.41,0.0
20170109:1411,399.49,356.14,93.43,2.88,8.44,5.13,6.76,0.0
20170109:1511,111.49,107.07,32.47,0.88,3.9,4.78,6.55,0.0
20170109:1611,0.0,0.0,0.0,0.0,0.0,4.37,6.28,0.0
20170109:1711,0.0,0.0,0.0,0.0,0.0,3.99,6.41,0.0
20170109:1811,0.0,0.0,0.0,0.0,0.0,3.77,6.76,0.0
20170109:1911,0.0,0.0,0.0,0.0,0.0,3.98,6.55,0.0
20170109:2011,0.0,0.0,0.0,0.0,0.0,3.94,6.97,0.0
20170109:2111,0.0,0.0,0.0,0.0,0.0,3.6,7.72,0.0
20170109:2211,0.0,0.0,0.0,0.0,0.0,3.99,7.79,0.0
20170109:2311,0.0,0.0,0.0,0.0,0.0,4.78,7.03,0.0
20170110:0011,0.0,0.0,0.0,0.0,0.0,4.71,6.55,0.0
20170110:0111,0.0,0.0,0.0,0.0,0.0,4.77,6.83,0.0
20170110:0211,0.0,0.0,0.0,0.0,0.0,5.09,7.03,0.0
20170110:0311,0.0,0.0,0.0,0.0,0.0,5.24,6.83,0.0
20170110:0411,0.0,0.0,0.0,0.0,0.0,5.12,6.28,0.0
20170110:0511,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0
20170110:0611,0.0,0.0,0.0,0.0,0.0,4.87,5.66,0.0
20170110:0711,0.0,0.0,0.0,0.0,0.0,5.19,5.31,0.0
20170110:0811,0.0,0.0,0.0,0.0,0.0,5.38,5.24,0.0
20170110:0911,0.0,0.0,1.75,0.05,2.54,5.57,5.24,0.0
20170110:1011,38.58,15.35,42.57,1.2,7.51,6.13,5.52,0.0
20170110:1111,498.34,454.21,109.99,3.99,10.79,6.61,6.0,0.0
20170110:1211,85.1,30.67,79.6,2.28,12.11,6.88,5.72,0.0
20170110:1311,22.94,0.0,39.32,1.13,11.36,7.13,5.17,0.0
20170110:1411,123.11,79.43,72.89,1.96,8.61,7.35,5.1,0.0
20170110:1511,3.35,0.0,12.23,0.35,4.07,7.84,5.59,0.0
20170110:1611,0.0,0.0,0.0,0.0,0.0,7.74,6.14,0.0
20170110:1711,0.0,0.0,0.0,0.0,0.0,7.32,6.28,0.0
20170110:1811,0.0,0.0,0.0,0.0,0.0,6.83,6.07,0.0
20170110:1911,0.0,0.0,0.0,0.0,0.0,6.83,5.72,0.0
20170110:2011,0.0,0.0,0.0,0.0,0.0,6.57,5.86,0.0
20170110:2111,0.0,0.0,0.0,0.0,0.0,6.53,6.62,0.0
20170110:2211,0.0,0.0,0.0,0.0,0.0,6.51,7.66,0.0
20170110:2311,0.0,0.0,0.0,0.0,0.0,7.13,9.03,0.0
20170111:0011,0.0,0.0,0.0,0.0,0.0,8.38,11.31,0.0
20170111:0111,0.0,0.0,0.0,0.0,0.0,9.35,12.41,0.0
20170111:0211,0.0,0.0,0.0,0.0,0.0,9.17,12.41,0.0
20170111:0311,0.0,0.0,0.0,0.0,0.0,7.75,11.66,0.0
20170111:0411,0.0,0.0,0.0,0.0,0.0,6.55,10.62,0.0
20170111:0511,0.0,0.0,0.0,0.0,0.0,5.59,9.52,0.0
20170111:0611,0.0,0.0,0.0,0.0,0.0,5.13,9.59,0.0
20170111:0711,0.0,0.0,0.0,0.0,0.0,5.42,9.24,0.0
20170111:0811,0.0,0.0,0.0,0.0,0.0,4.98,9.31,0.0
20170111:0911,0.0,0.0,1.75,0.05,2.64,4.67,9.24,0.0
20170111:1011,264.19,211.83,88.74,2.26,7.63,4.64,9.52,0.0
20170111:1111,464.4,396.68,119.54,3.89,10.93,4.7,9.1,0.0
20170111:1211,476.36,394.69,134.25,4.34,12.26,4.66,9.03,0.0
20170111:1311,415.04,333.38,129.16,3.89,11.53,4.6,8.21,0.0
20170111:1411,356.45,298.78,100.43,2.86,8.78,4.4,8.62,0.0
20170111:1511,12.76,7.63,18.33,0.53,4.25,4.01,9.38,0.0
20170111:1611,0.0,0.0,0.0,0.0,0.0,3.61,8.9,0.0
20170111:1711,0.0,0.0,0.0,0.0,0.0,3.37,8.97,0.0
20170111:1811,0.0,0.0,0.0,0.0,0.0,3.1,8.55,0.0
20170111:1911,0.0,0.0,0.0,0.0,0.0,2.75,8.14,0.0
20170111:2011,0.0,0.0,0.0,0.0,0.0,2.67,8.07,0.0
20170111:2111,0.0,0.0,0.0,0.0,0.0,2.61,8.21,0.0
20170111:2211,0.0,0.0,0.0,0.0,0.0,2.49,8.14,0.0
20170111:2311,0.0,0.0,0.0,0.0,0.0,2.34,8.07,0.0
20170112:0011,0.0,0.0,0.0,0.0,0.0,2.03,8.0,0.0
20170112:0111,0.0,0.0,0.0,0.0,0.0,1.74,7.72,0.0
20170112:0211,0.0,0.0,0.0,0.0,0.0,1.5,7.52,0.0
20170112:0311,0.0,0.0,0.0,0.0,0.0,1.22,7.03,0.0
20170112:0411,0.0,0.0,0.0,0.0,0.0,1.03,6.69,0.0
20170112:0511,0.0,0.0,0.0,0.0,0.0,0.88,6.55,0.0
20170112:0611,0.0,0.0,0.0,0.0,0.0,0.87,6.69,0.0
20170112:0711,0.0,0.0,0.0,0.0,0.0,1.15,5.72,0.0
20170112:0811,0.0,0.0,0.0,0.0,0.0,1.14,5.66,0.0
20170112:0911,10.68,10.86,12.17,0.35,2.75,0.82,5.66,0.0
20170112:1011,96.57,59.61,60.62,1.63,7.76,0.96,5.86,0.0
20170112:1111,11.89,0.0,24.47,0.7,11.07,1.29,5.66,0.0
20170112:1211,260.43,168.98,123.59,3.46,12.42,1.59,6.28,0.0
20170112:1311,337.19,248.05,126.9,3.61,11.7,1.56,5.66,0.0
20170112:1411,210.13,149.18,91.33,2.41,8.96,1.51,5.45,0.0
20170112:1511,180.01,169.07,41.72,1.15,4.43,1.29,5.45,0.0
20170112:1611,0.0,0.0,0.0,0.0,0.0,0.61,5.24,0.0
20170112:1711,0.0,0.0,0.0,0.0,0.0,0.11,4.97,0.0
20170112:1811,0.0,0.0,0.0,0.0,0.0,-0.13,4.62,0.0
20170112:1911,0.0,0.0,0.0,0.0,0.0,-0.35,4.28,0.0
20170112:2011,0.0,0.0,0.0,0.0,0.0,-0.56,4.14,0.0
20170112:2111,0.0,0.0,0.0,0.0,0.0,-0.61,4.34,0.0
20170112:2211,0.0,0.0,0.0,0.0,0.0,-0.77,4.55,0.0
20170112:2311,0.0,0.0,0.0,0.0,0.0,-1.12,5.1,0.0
20170113:0011,0.0,0.0,0.0,0.0,0.0,-1.27,6.14,0.0
20170113:0111,0.0,0.0,0.0,0.0,0.0,-1.23,6.9,0.0
20170113:0211,0.0,0.0,0.0,0.0,0.0,-1.17,7.66,0.0
20170113:0311,0.0,0.0,0.0,0.0,0.0,-0.52,9.24,0.0
20170113:0411,0.0,0.0,0.0,0.0,0.0,0.34,9.38,0.0
20170113:0511,0.0,0.0,0.0,0.0,0.0,1.01,8.69,0.0
20170113:0611,0.0,0.0,0.0,0.0,0.0,1.66,8.48,0.0
20170113:0711,0.0,0.0,0.0,0.0,0.0,2.26,6.9,0.0
20170113:0811,0.0,0.0,0.0,0.0,0.0,1.88,6.21,0.0
20170113:0911,0.0,0.0,1.75,0.05,2.86,1.52,6.0,0.0
20170113:1011,13.2,0.0,26.22,0.75,7.89,1.37,5.79,0.0
20170113:1111,12.53,0.0,25.34,0.73,11.22,1.47,5.66,0.0
20170113:1211,353.79,256.29,136.59,3.94,12.58,1.6,5.52,0.0
20170113:1311,141.52,72.75,95.02,2.68,11.87,1.57,5.38,0.0
20170113:1411,202.66,142.23,90.27,2.41,9.14,1.33,5.17,0.0
20170113:1511,4.04,0.0,13.11,0.38,4.62,0.84,4.83,0.0
20170113:1611,0.0,0.0,0.0,0.0,0.0,0.07,4.55,0.0
20170113:1711,0.0,0.0,0.0,0.0,0.0,-0.74,4.62,0.0
20170113:1811,0.0,0.0,0.0,0.0,0.0,-1.19,4.55,0.0
20170113:1911,0.0,0.0,0.0,0.0,0.0,-1.67,4.48,0.0
20170113:2011,0.0,0.0,0.0,0.0,0.0,-1.91,4.41,0.0
20170113:2111,0.0,0.0,0.0,0.0,0.0,-2.05,4.41,0.0
20170113:2211,0.0,0.0,0.0,0.0,0.0,-1.9,4.55,0.0
20170113:2311,0.0,0.0,0.0,0.0,0.0,-1.38,4.9,0.0
20170114:0011,0.0,0.0,0.0,0.0,0.0,-0.93,5.24,0.0
20170114:0111,0.0,0.0,0.0,0.0,0.0,-0.71,5.24,0.0
20170114:0211,0.0,0.0,0.0,0.0,0.0,-0.65,5.03,0.0
20170114:0311,0.0,0.0,0.0,0.0,0.0,-0.63,4.83,0.0
20170114:0411,0.0,0.0,0.0,0.0,0.0,-0.69,4.55,0.0
20170114:0511,0.0,0.0,0.0,0.0,0.0,-0.87,4.28,0.0
20170114:0611,0.0,0.0,0.0,0.0,0.0,-1.05,4.0,0.0
20170114:0711,0.0,0.0,0.0,0.0,0.0,-0.58,3.66,0.0
20170114:0811,0.0,0.0,0.0,0.0,0.0,-0.56,3.59,0.0
20170114:0911,18.21,20.01,12.83,0.38,2.99,-0.53,3.59,0.0
20170114:1011,197.57,144.36,82.6,2.13,8.03,-0.01,3.59,0.0
20170114:1111,94.8,39.09,79.19,2.26,11.37,0.99,3.66,0.0
20170114:1211,13.83,0.0,27.09,0.78,12.76,1.78,3.38,0.0
20170114:1311,391.97,306.3,132.58,3.96,12.05,2.14,3.59,0.0
20170114:1411,288.37,222.84,103.32,2.81,9.33,2.15,3.66,0.0
20170114:1511,95.33,81.96,38.48,1.03,4.81,1.69,3.52,0.0
20170114:1611,0.0,0.0,0.0,0.0,0.0,0.89,3.45,0.0
20170114:1711,0.0,0.0,0.0,0.0,0.0,0.31,3.31,0.0
20170114:1811,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0
20170114:1911,0.0,0.0,0.0,0.0,0.0,0.41,2.69,0.0
20170114:2011,0.0,0.0,0.0,0.0,0.0,0.53,2.62,0.0
20170114:2111,0.0,0.0,0.0,0.0,0.0,0.97,2.62,0.0
20170114:2211,0.0,0.0,0.0,0.0,0.0,1.32,2.69,0.0
20170114:2311,0.0,0.0,0.0,0.0,0.0,1.69,2.97,0.0
20170115:0011,0.0,0.0,0.0,0.0,0.0,2.13,3.38,0.0
20170115:0111,0.0,0.0,0.0,0.0,0.0,2.58,3.66,0.0
20170115:0211,0.0,0.0,0.0,0.0,0.0,3.01,3.59,0.0
20170115:0311,0.0,0.0,0.0,0.0,0.0,3.57,3.93,0.0
20170115:0411,0.0,0.0,0.0,0.0,0.0,4.64,4.62,0.0
20170115:0511,0.0,0.0,0.0,0.0,0.0,5.79,5.38,0.0
20170115:0611,0.0,0.0,0.0,0.0,0.0,6.41,5.66,0.0
20170115:0711,0.0,0.0,0.0,0.0,0.0,6.75,5.24,0.0
20170115:0811,0.0,0.0,0.0,0.0,0.0,6.99,4.76,0.0
20170115:0911,0.0,0.0,1.75,0.05,3.12,7.12,4.41,0.0
20170115:1011,12.13,0.0,25.34,0.73,8.18,7.36,4.41,0.0
20170115:1111,38.25,3.86,53.99,1.56,11.54,7.63,4.41,0.0
20170115:1211,205.07,123.46,117.93,3.34,12.93,7.86,4.48,0.0
20170115:1311,38.75,3.73,54.81,1.58,12.24,8.07,4.41,0.0
20170115:1411,19.35,0.0,34.95,1.0,9.53,8.22,4.28,0.0
20170115:1511,28.28,19.76,26.53,0.75,5.01,8.18,3.93,0.0
20170115:1611,0.0,0.0,0.0,0.0,0.0,8.03,3.52,0.0
20170115:1711,0.0,0.0,0.0,0.0,0.0,7.86,3.17,0.0
20170115:1811,0.0,0.0,0.0,0.0,0.0,7.67,2.97,0.0
20170115:1911,0.0,0.0,0.0,0.0,0.0,7.75,2.76,0.0
