time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20170714:0811,383.63,270.31,179.44,11.86,33.59,12.71,5.66,0.0
20170714:0911,551.63,444.82,199.38,15.23,41.57,13.63,5.45,0.0
20170714:1011,679.47,594.96,210.36,17.86,48.54,14.26,4.97,0.0
20170714:1111,321.46,49.81,331.62,10.36,53.62,14.55,4.69,0.0
20170714:1211,332.04,51.57,343.42,10.71,55.78,15.26,4.69,0.0
20170714:1311,566.05,306.9,367.59,15.75,54.4,15.45,4.41,0.0
20170714:1411,585.68,384.54,313.1,16.03,49.88,15.76,4.62,0.0
20170714:1511,585.3,504.59,189.06,16.13,43.25,15.65,4.83,0.0
20170714:1611,373.53,221.25,222.53,11.56,35.43,15.45,4.69,0.0
20170714:1711,32.36,0.0,52.43,1.51,27.11,15.25,4.41,0.0
20170714:1811,8.63,0.0,20.97,0.6,18.75,14.79,4.28,0.0
20170714:1911,1.84,0.0,9.67,0.3,10.73,14.06,3.86,0.0
20170714:2011,0.05,0.0,5.64,0.18,3.39,13.36,3.52,0.0
20170714:2111,0.0,0.0,0.0,0.0,0.0,12.56,3.38,0.0
20170714:2211,0.0,0.0,0.0,0.0,0.0,12.19,3.1,0.0
20170714:2311,0.0,0.0,0.0,0.0,0.0,12.15,2.9,0.0
20170715:0011,0.0,0.0,0.0,0.0,0.0,12.3,3.17,0.0
20170715:0111,0.0,0.0,0.0,0.0,0.0,12.38,3.79,0.0
20170715:0211,0.0,0.0,0.0,0.0,0.0,12.62,3.93,0.0
20170715:0311,0.0,0.0,0.0,0.0,0.0,12.7,3.93,0.0
20170715:0411,0.0,0.0,0.0,0.0,0.0,12.82,3.86,0.0
20170715:0511,4.09,0.0,13.69,0.43,8.87,13.03,3.79,0.0
20170715:0611,27.68,0.0,46.31,1.33,16.77,13.63,3.59,0.0
20170715:0711,18.72,0.0,34.95,1.0,25.08,14.52,4.97,0.0
20170715:0811,45.43,0.0,68.16,1.96,33.45,14.73,4.48,0.0
20170715:0911,109.93,0.0,142.44,4.09,41.42,14.61,4.41,0.0
20170715:1011,138.7,0.0,174.77,5.02,48.39,14.71,5.31,0.0
20170715:1111,142.43,0.0,179.14,5.14,53.47,15.03,5.59,0.0
20170715:1211,207.37,2.4,250.2,7.22,55.62,15.63,6.21,0.0
20170715:1311,173.99,0.0,215.84,6.2,54.25,16.22,5.38,0.0
20170715:1411,362.91,93.76,337.5,11.31,49.76,16.66,5.86,0.0
20170715:1511,329.51,91.59,300.02,10.36,43.13,16.87,7.03,0.0
20170715:1611,160.27,6.81,193.72,5.72,35.33,16.81,6.21,0.0
20170715:1711,163.51,27.6,178.45,6.0,27.01,16.79,6.14,0.0
20170715:1811,27.98,0.0,47.19,1.35,18.65,16.59,6.0,0.0
20170715:1911,4.96,0.0,15.3,0.48,10.62,16.49,5.66,0.0
20170715:2011,1.82,0.0,9.67,0.3,3.27,15.64,5.45,0.0
20170715:2111,0.0,0.0,0.0,0.0,0.0,14.75,5.38,0.0
20170715:2211,0.0,0.0,0.0,0.0,0.0,13.95,5.31,0.0
20170715:2311,0.0,0.0,0.0,0.0,0.0,13.13,5.24,0.0
20170716:0011,0.0,0.0,0.0,0.0,0.0,12.36,5.1,0.0
20170716:0111,0.0,0.0,0.0,0.0,0.0,11.85,4.9,0.0
20170716:0211,0.0,0.0,0.0,0.0,0.0,11.39,4.83,0.0
20170716:0311,0.0,0.0,0.0,0.0,0.0,11.15,4.9,0.0
20170716:0411,0.0,0.0,0.0,0.0,0.0,10.9,4.76,0.0
20170716:0511,21.38,0.0,37.86,1.18,8.72,11.09,4.83,0.0
20170716:0611,77.01,12.67,97.76,4.41,16.63,11.71,5.31,0.0
20170716:0711,220.12,194.98,88.34,9.43,24.94,12.53,5.66,0.0
20170716:0811,277.94,96.59,233.19,8.98,33.31,13.24,5.59,0.0
20170716:0911,194.28,9.69,226.52,6.7,41.28,14.1,5.86,0.0
20170716:1011,238.2,16.12,269.45,8.03,48.24,14.46,6.34,0.0
20170716:1111,308.85,41.69,324.24,10.01,53.31,14.8,6.14,0.0
20170716:1211,697.25,505.93,322.65,18.14,55.46,15.4,6.21,0.0
20170716:1311,637.89,411.07,341.83,16.93,54.1,15.44,6.69,0.0
20170716:1411,603.14,401.5,307.21,16.15,49.62,15.42,6.9,0.0
20170716:1511,580.43,472.35,205.85,15.75,43.01,15.3,7.24,0.0
20170716:1611,422.61,315.44,180.17,12.69,35.21,14.97,7.24,0.0
20170716:1711,245.83,163.18,141.71,9.28,26.89,14.56,7.1,0.0
20170716:1811,76.15,63.34,65.61,6.62,18.53,14.13,6.55,0.0
20170716:1911,31.35,0.0,50.74,1.58,10.5,13.73,5.72,0.0
20170716:2011,4.09,0.0,13.69,0.43,3.14,13.15,5.52,0.0
20170716:2111,0.0,0.0,0.0,0.0,0.0,12.46,5.31,0.0
20170716:2211,0.0,0.0,0.0,0.0,0.0,11.97,5.31,0.0
20170716:2311,0.0,0.0,0.0,0.0,0.0,11.82,5.59,0.0
20170717:0011,0.0,0.0,0.0,0.0,0.0,11.86,5.79,0.0
20170717:0111,0.0,0.0,0.0,0.0,0.0,11.84,5.79,0.0
20170717:0211,0.0,0.0,0.0,0.0,0.0,11.96,5.79,0.0
20170717:0311,0.0,0.0,0.0,0.0,0.0,12.05,5.79,0.0
20170717:0411,0.0,0.0,0.0,0.0,0.0,12.06,5.79,0.0
20170717:0511,28.33,0.0,46.72,1.45,8.57,12.11,5.86,0.0
20170717:0611,70.13,18.29,87.66,4.84,16.48,12.47,6.48,0.0
20170717:0711,207.93,132.73,130.78,8.4,24.8,13.23,7.93,0.0
20170717:0811,413.85,356.13,129.2,12.69,33.16,13.93,7.17,0.0
20170717:0911,607.95,607.0,103.64,16.51,41.13,15.06,6.69,0.0
20170717:1011,726.14,726.2,135.13,18.79,48.08,16.12,6.55,0.0
20170717:1111,805.03,827.4,140.97,20.44,53.14,17.12,6.55,0.0
20170717:1211,823.74,836.73,161.15,20.87,55.3,17.78,6.48,0.0
20170717:1311,781.69,752.24,193.51,20.02,53.95,18.23,6.41,0.0
20170717:1411,725.14,711.98,161.85,18.96,49.48,18.51,6.14,0.0
20170717:1511,613.28,599.8,134.3,16.83,42.88,18.67,5.72,0.0
20170717:1611,449.15,417.42,121.89,13.72,35.09,18.65,5.31,0.0
20170717:1711,255.83,228.76,98.54,10.18,26.77,18.42,4.83,0.0
20170717:1811,72.67,65.42,62.22,6.65,18.41,17.95,4.21,0.0
20170717:1911,31.39,0.0,51.55,1.61,10.37,17.28,3.38,0.0
20170717:2011,0.34,0.0,6.44,0.2,3.01,16.2,3.03,0.0
20170717:2111,0.0,0.0,0.0,0.0,0.0,14.91,2.9,0.0
20170717:2211,0.0,0.0,0.0,0.0,0.0,13.87,2.83,0.0
20170717:2311,0.0,0.0,0.0,0.0,0.0,13.0,2.62,0.0
20170718:0011,0.0,0.0,0.0,0.0,0.0,12.22,2.41,0.0
20170718:0111,0.0,0.0,0.0,0.0,0.0,11.71,2.14,0.0
20170718:0211,0.0,0.0,0.0,0.0,0.0,10.96,1.86,0.0
20170718:0311,0.0,0.0,0.0,0.0,0.0,10.1,1.66,0.0
20170718:0411,0.0,0.0,0.0,0.0,0.0,9.62,1.52,0.0
20170718:0511,27.23,0.0,45.11,1.4,8.41,10.17,1.24,0.0
20170718:0611,54.59,28.36,65.69,5.44,16.33,12.43,0.69,0.0
20170718:0711,210.26,182.52,95.8,9.16,24.65,15.0,0.69,0.0
20170718:0811,405.22,382.95,112.08,12.92,33.01,16.66,1.72,0.0
20170718:0911,585.13,616.28,97.48,16.53,40.97,17.8,2.55,0.0
20170718:1011,703.7,752.38,117.86,18.91,47.92,18.76,3.1,0.0
20170718:1111,757.92,767.19,177.29,19.97,52.97,19.51,3.66,0.0
20170718:1211,773.36,760.09,205.7,20.27,55.12,20.04,4.0,0.0
20170718:1311,780.05,811.75,159.26,20.42,53.78,20.13,4.28,0.0
20170718:1411,687.69,647.39,197.54,18.39,49.33,19.92,4.28,0.0
20170718:1511,581.37,535.59,171.24,16.23,42.74,20.08,4.28,0.0
20170718:1611,434.2,386.41,140.52,13.37,34.96,19.77,4.28,0.0
20170718:1711,252.88,224.27,101.46,10.08,26.65,19.73,4.55,0.0
20170718:1811,73.25,62.73,65.06,6.52,18.28,19.13,4.41,0.0
20170718:1911,31.92,0.0,52.35,1.63,10.24,18.09,4.21,0.0
20170718:2011,1.41,0.0,8.86,0.28,2.87,16.73,4.14,0.0
20170718:2111,0.0,0.0,0.0,0.0,0.0,15.28,4.0,0.0
20170718:2211,0.0,0.0,0.0,0.0,0.0,14.14,3.93,0.0
20170718:2311,0.0,0.0,0.0,0.0,0.0,13.4,4.07,0.0
20170719:0011,0.0,0.0,0.0,0.0,0.0,12.97,3.93,0.0
20170719:0111,0.0,0.0,0.0,0.0,0.0,12.63,3.86,0.0
20170719:0211,0.0,0.0,0.0,0.0,0.0,12.49,3.93,0.0
20170719:0311,0.0,0.0,0.0,0.0,0.0,12.56,4.34,0.0
20170719:0411,0.0,0.0,0.0,0.0,0.0,12.56,4.62,0.0
20170719:0511,21.19,0.0,37.86,1.18,8.26,12.84,4.97,0.0
20170719:0611,73.64,4.95,98.22,3.46,16.17,13.41,6.28,0.0
20170719:0711,27.64,0.0,46.31,1.33,24.5,14.16,6.41,0.0
20170719:0811,59.56,0.0,84.76,2.43,32.86,14.86,6.48,0.0
20170719:0911,74.47,0.0,102.24,2.93,40.81,15.43,6.41,0.0
20170719:1011,84.92,0.0,114.48,3.29,47.75,15.97,6.55,0.0
20170719:1111,198.38,2.4,240.58,6.95,52.8,16.43,7.1,0.0
20170719:1211,377.63,87.36,360.09,11.74,54.95,16.88,7.17,0.0
20170719:1311,145.19,0.0,183.51,5.27,53.61,16.98,6.9,0.0
20170719:1411,142.86,0.0,180.89,5.19,49.17,16.96,6.76,0.0
20170719:1511,171.75,3.31,210.07,6.1,42.6,16.96,7.24,0.0
20170719:1611,87.0,0.0,117.1,3.36,34.83,16.58,7.24,0.0
20170719:1711,161.9,27.28,175.95,5.89,26.52,15.53,5.72,0.0
20170719:1811,32.42,0.0,52.43,1.51,18.15,14.97,5.1,0.0
20170719:1911,1.42,0.0,8.86,0.28,10.1,15.54,3.31,0.0
20170719:2011,0.0,0.0,1.61,0.05,2.72,15.14,2.48,0.0
20170719:2111,0.0,0.0,0.0,0.0,0.0,14.56,2.28,0.0
20170719:2211,0.0,0.0,0.0,0.0,0.0,14.38,1.79,0.0
20170719:2311,0.0,0.0,0.0,0.0,0.0,14.41,1.52,0.0
20170720:0011,0.0,0.0,0.0,0.0,0.0,14.53,1.31,0.0
20170720:0111,0.0,0.0,0.0,0.0,0.0,14.76,1.45,0.0
20170720:0211,0.0,0.0,0.0,0.0,0.0,14.65,2.07,0.0
